year-semester,year,spring,fall,academic_year,required,quota,enrollment,junior,double,second,all
2007-1,2007,1,0,2,1,440,338,49,0,0,297
2007-1,2007,1,0,2,0,80,55,49,0,0,297
2007-1,2007,1,0,3,1,200,116,49,0,0,297
2007-1,2007,1,0,3,0,310,185,49,0,0,297
2007-1,2007,1,0,4,0,540,201,49,0,0,297
2007-2,2007,0,1,2,1,420,250,49,0,0,280
2007-2,2007,0,1,2,0,230,113,49,0,0,280
2007-2,2007,0,1,3,1,260,161,49,0,0,280
2007-2,2007,0,1,3,0,440,159,49,0,0,280
2007-2,2007,0,1,4,0,360,83,49,0,0,280
2008-1,2008,1,0,3,1,210,103,51,0,0,297
2008-1,2008,1,0,3,0,350,179,51,0,0,297
2008-1,2008,1,0,2,1,360,269,51,0,0,297
2008-1,2008,1,0,2,0,60,31,51,0,0,297
2008-1,2008,1,0,4,0,750,201,51,0,0,297
2008-2,2008,0,1,3,1,210,171,51,0,0,280
2008-2,2008,0,1,3,0,490,144,51,0,0,280
2008-2,2008,0,1,2,1,400,217,51,0,0,280
2008-2,2008,0,1,2,0,180,110,51,0,0,280
2008-2,2008,0,1,4,0,410,83,51,0,0,280
2009-1,2009,1,0,3,1,180,169,46,5,5,297
2009-1,2009,1,0,3,0,290,180,46,5,5,297
2009-1,2009,1,0,2,1,360,323,46,5,5,297
2009-1,2009,1,0,2,0,60,26,46,5,5,297
2009-1,2009,1,0,4,0,550,221,46,5,5,297
2009-2,2009,0,1,2,1,320,193,46,0,0,280
2009-2,2009,0,1,2,0,220,149,46,0,0,280
2009-2,2009,0,1,3,1,210,139,46,0,0,280
2009-2,2009,0,1,3,0,140,90,46,0,0,280
2009-2,2009,0,1,1,0,40,22,46,0,0,280
2009-2,2009,0,1,4,0,375,144,46,0,0,280
2010-1,2010,1,0,3,1,190,149,45,3,3,297
2010-1,2010,1,0,3,0,230,187,45,3,3,297
2010-1,2010,1,0,2,1,300,254,45,3,3,297
2010-1,2010,1,0,2,0,60,26,45,3,3,297
2010-1,2010,1,0,4,0,400,215,45,3,3,297
2010-2,2010,0,1,2,1,310,243,45,0,0,280
2010-2,2010,0,1,2,0,100,80,45,0,0,280
2010-2,2010,0,1,3,1,180,168,45,0,0,280
2010-2,2010,0,1,3,0,320,173,45,0,0,280
2010-2,2010,0,1,4,0,390,156,45,0,0,280
2011-1,2011,1,0,2,1,270,233,50,10,10,297
2011-1,2011,1,0,2,0,40,38,50,10,10,297
2011-1,2011,1,0,3,1,180,164,50,10,10,297
2011-1,2011,1,0,3,0,190,93,50,10,10,297
2011-1,2011,1,0,4,0,367,179,50,10,10,297
2011-2,2011,0,1,2,1,310,226,50,0,0,280
2011-2,2011,0,1,2,0,150,104,50,0,0,280
2011-2,2011,0,1,3,1,190,114,50,0,0,280
2011-2,2011,0,1,3,0,215,159,50,0,0,280
2011-2,2011,0,1,4,0,320,75,50,0,0,280
2012-1,2012,1,0,2,1,310,301,55,5,6,297
2012-1,2012,1,0,2,0,40,20,55,5,6,297
2012-1,2012,1,0,3,1,210,136,55,5,6,297
2012-1,2012,1,0,3,0,200,109,55,5,6,297
2012-1,2012,1,0,4,0,437,150,55,5,6,297
2012-2,2012,0,1,3,1,210,169,55,4,4,280
2012-2,2012,0,1,3,0,335,172,55,4,4,280
2012-2,2012,0,1,2,1,320,274,55,4,4,280
2012-2,2012,0,1,2,0,110,87,55,4,4,280
2012-2,2012,0,1,1,0,60,61,55,4,4,280
2012-2,2012,0,1,4,0,310,78,55,4,4,280
2013-1,2013,1,0,3,1,230,158,55,7,9,297
2013-1,2013,1,0,3,0,180,104,55,7,9,297
2013-1,2013,1,0,2,1,380,437,55,7,9,297
2013-1,2013,1,0,2,0,50,34,55,7,9,297
2013-1,2013,1,0,4,0,550,263,55,7,9,297
2013-2,2013,0,1,3,1,220,187,55,11,15,280
2013-2,2013,0,1,3,0,230,121,55,11,15,280
2013-2,2013,0,1,4,0,245,92,55,11,15,280
2013-2,2013,0,1,2,1,360,359,55,11,15,280
2013-2,2013,0,1,2,0,120,124,55,11,15,280
2013-2,2013,0,1,1,0,40,50,55,11,15,280
2014-1,2014,1,0,2,1,420,435,55,13,5,307
2014-1,2014,1,0,2,0,90,61,55,13,5,307
2014-1,2014,1,0,3,1,186,196,55,13,5,307
2014-1,2014,1,0,3,0,190,122,55,13,5,307
2014-1,2014,1,0,4,0,456,243,55,13,5,307
2014-2,2014,0,1,4,0,260,130,55,20,23,299
2014-2,2014,0,1,3,1,290,313,55,20,23,299
2014-2,2014,0,1,3,0,205,152,55,20,23,299
2014-2,2014,0,1,2,1,580,450,55,20,23,299
2014-2,2014,0,1,2,0,150,116,55,20,23,299
2014-2,2014,0,1,1,0,44,83,55,20,23,299
2015-1,2015,1,0,3,1,280,138,55,45,50,313
2015-1,2015,1,0,3,0,320,247,55,45,50,313
2015-1,2015,1,0,4,0,445,316,55,45,50,313
2015-1,2015,1,0,2,1,462,382,55,45,50,313
2015-1,2015,1,0,1,0,60,54,55,45,50,313
2015-2,2015,0,1,3,1,200,125,55,10,5,386
2015-2,2015,0,1,3,0,365,232,55,10,5,386
2015-2,2015,0,1,2,1,470,416,55,10,5,386
2015-2,2015,0,1,2,0,300,225,55,10,5,386
2015-2,2015,0,1,4,0,240,138,55,10,5,386
2015-2,2015,0,1,1,0,100,132,55,10,5,386
2016-1,2016,1,0,4,0,520,356,55,36,40,321
2016-1,2016,1,0,2,1,410,563,55,36,40,321
2016-1,2016,1,0,3,1,180,165,55,36,40,321
2016-1,2016,1,0,3,0,435,323,55,36,40,321
2016-1,2016,1,0,1,0,40,44,55,36,40,321
2016-2,2016,0,1,3,1,160,159,55,19,15,301
2016-2,2016,0,1,3,0,360,289,55,19,15,301
2016-2,2016,0,1,2,1,746,610,55,19,15,301
2016-2,2016,0,1,2,0,270,232,55,19,15,301
2016-2,2016,0,1,4,0,270,163,55,19,15,301
2016-2,2016,0,1,1,0,120,106,55,19,15,301
