year-semester,year,spring,fall,academic_year,required,quota,enrollment,junior,double,second,all
2007-1,2007,1,0,2,1,80,74,49,0,0,297
2007-2,2007,0,1,2,1,40,12,49,0,0,280
2008-1,2008,1,0,2,1,80,67,51,0,0,297
2008-2,2008,0,1,2,1,40,6,51,0,0,280
2009-1,2009,1,0,2,1,80,68,46,5,5,297
2009-2,2009,0,1,2,1,40,10,46,0,0,280
2010-1,2010,1,0,2,1,60,61,45,3,3,297
2010-2,2010,0,1,2,1,30,14,45,0,0,280
2011-1,2011,1,0,2,1,50,50,50,10,10,297
2011-2,2011,0,1,2,1,30,18,50,0,0,280
2012-1,2012,1,0,2,1,60,64,55,5,6,297
2012-2,2012,0,1,2,1,40,29,55,4,4,280
2013-1,2013,1,0,2,1,60,91,55,7,9,297
2013-2,2013,0,1,2,1,40,29,55,11,15,280
2014-1,2014,1,0,2,1,80,82,55,13,5,307
2014-2,2014,0,1,2,1,50,39,55,20,23,299
2015-1,2015,1,0,2,1,112,97,55,45,50,313
2015-2,2015,0,1,2,1,60,25,55,10,5,386
2016-1,2016,1,0,2,1,60,55,55,36,40,321
2016-2,2016,0,1,2,1,116,90,55,19,15,301
2017-1,2017,1,0,2,1,120,123,55,36,40,338
