year-semester,year,spring,fall,academic_year,required,quota,enrollment,junior,double,second,all
2007-1,2007,1,0,2,1,80,55,49,0,0,297
2007-2,2007,0,1,2,1,40,9,49,0,0,280
2008-1,2008,1,0,2,1,80,49,51,0,0,297
2008-2,2008,0,1,2,1,40,2,51,0,0,280
2009-1,2009,1,0,2,1,80,61,46,5,5,297
2009-2,2009,0,1,2,1,40,5,46,0,0,280
2010-1,2010,1,0,2,1,60,57,45,3,3,297
2010-2,2010,0,1,2,1,30,10,45,0,0,280
2011-1,2011,1,0,2,1,50,50,50,10,10,297
2011-2,2011,0,1,2,1,30,9,50,0,0,280
2012-1,2012,1,0,2,1,60,61,55,5,6,297
2012-2,2012,0,1,2,1,30,15,55,4,4,280
2013-1,2013,1,0,2,1,60,88,55,7,9,297
2013-2,2013,0,1,2,1,40,24,55,11,15,280
2014-1,2014,1,0,2,1,80,77,55,13,5,307
2014-2,2014,0,1,2,1,40,19,55,20,23,299
