year-semester,year,spring,fall,academic_year,required,quota,enrollment,junior,double,second,all
2007-1,2007,1,0,3,0,60,31,49,0,0,297
2007-2,2007,0,1,3,0,40,17,49,0,0,280
2008-1,2008,1,0,3,0,60,44,51,0,0,297
2008-2,2008,0,1,3,0,60,26,51,0,0,280
2009-1,2009,1,0,3,0,50,30,46,5,5,297
2009-2,2009,0,1,3,0,40,23,46,0,0,280
2010-2,2010,0,1,3,0,40,20,45,0,0,280
2011-1,2011,1,0,3,0,40,23,50,10,10,297
2011-2,2011,0,1,3,0,40,29,50,0,0,280
2012-1,2012,1,0,3,0,40,33,55,5,6,297
2013-1,2013,1,0,3,0,40,29,55,7,9,297
2014-1,2014,1,0,3,0,40,41,55,13,5,307
2014-2,2014,0,1,3,0,40,30,55,20,23,299
2015-1,2015,1,0,3,0,40,31,55,45,50,313
2015-2,2015,0,1,3,0,40,32,55,10,5,386
2016-1,2016,1,0,3,0,40,34,55,36,40,321
2016-2,2016,0,1,3,0,40,57,55,19,15,301
2017-1,2017,1,0,3,0,40,39,55,36,40,338
