year-semester,year,spring,fall,academic_year,required,quota,enrollment,junior,double,second,all
2007-1,2007,1,0,3,0,70,58,49,0,0,297
2007-2,2007,0,1,3,0,60,15,49,0,0,280
2008-1,2008,1,0,3,0,60,36,51,0,0,297
2008-2,2008,0,1,3,0,30,20,51,0,0,280
2009-1,2009,1,0,3,0,30,18,46,5,5,297
2010-1,2010,1,0,3,0,40,30,45,3,3,297
2010-2,2010,0,1,3,0,40,13,45,0,0,280
2011-1,2011,1,0,3,0,40,20,50,10,10,297
2011-2,2011,0,1,3,0,40,14,50,0,0,280
2012-1,2012,1,0,3,0,40,24,55,5,6,297
2012-2,2012,0,1,3,0,40,25,55,4,4,280
2013-2,2013,0,1,3,0,40,36,55,11,15,280
2014-1,2014,1,0,3,0,60,41,55,13,5,307
2014-2,2014,0,1,3,0,40,26,55,20,23,299
2015-1,2015,1,0,3,0,60,32,55,45,50,313
2016-1,2016,1,0,3,0,60,40,55,36,40,321
2017-1,2017,1,0,3,0,50,59,55,36,40,338
