year-semester,year,spring,fall,academic_year,required,quota,enrollment,junior,double,second,all
2007-1,2007,1,0,3,0,60,54,49,0,0,297
2007-2,2007,0,1,3,0,40,19,49,0,0,280
2008-1,2008,1,0,3,0,50,32,51,0,0,297
2008-2,2008,0,1,3,0,60,11,51,0,0,280
2009-1,2009,1,0,3,0,50,44,46,5,5,297
2010-1,2010,1,0,3,0,40,37,45,3,3,297
2010-2,2010,0,1,3,0,40,13,45,0,0,280
2011-1,2011,1,0,3,0,40,31,50,10,10,297
2011-2,2011,0,1,3,0,40,17,50,0,0,280
2012-1,2012,1,0,3,0,40,23,55,5,6,297
2012-2,2012,0,1,3,0,40,22,55,4,4,280
2013-1,2013,1,0,3,0,50,32,55,7,9,297
2013-2,2013,0,1,3,0,50,28,55,11,15,280
2015-1,2015,1,0,3,0,50,51,55,45,50,313
2015-2,2015,0,1,3,0,60,21,55,10,5,386
2016-1,2016,1,0,3,0,50,45,55,36,40,321
2016-2,2016,0,1,3,0,50,47,55,19,15,301
