year-semester,year,spring,fall,academic_year,required,quota,enrollment,junior,double,second,all
2007-1,2007,1,0,4,0,60,22,49,0,0,297
2007-2,2007,0,1,4,0,60,7,49,0,0,280
2008-1,2008,1,0,4,0,60,10,51,0,0,297
2008-2,2008,0,1,4,0,40,13,51,0,0,280
2009-1,2009,1,0,4,0,40,21,46,5,5,297
2009-2,2009,0,1,4,0,40,9,46,0,0,280
2010-1,2010,1,0,4,0,40,13,45,3,3,297
2010-2,2010,0,1,4,0,40,17,45,0,0,280
2011-2,2011,0,1,4,0,40,19,50,0,0,280
2012-1,2012,1,0,4,0,40,6,55,5,6,297
2012-2,2012,0,1,4,0,40,9,55,4,4,280
2013-1,2013,1,0,4,0,40,11,55,7,9,297
2014-1,2014,1,0,4,0,40,9,55,13,5,307
2015-1,2015,1,0,4,0,40,26,55,45,50,313
2016-1,2016,1,0,4,0,60,17,55,36,40,321
2017-1,2017,1,0,4,0,60,27,55,36,40,338
