year-semester,year,spring,fall,academic_year,required,quota,enrollment,junior,double,second,all
2007-1,2007,1,0,4,0,60,24,49,0,0,297
2008-1,2008,1,0,4,0,60,30,51,0,0,297
2008-2,2008,0,1,4,0,40,12,51,0,0,280
2009-2,2009,0,1,4,0,40,14,46,0,0,280
2010-2,2010,0,1,4,0,40,17,45,0,0,280
2011-1,2011,1,0,4,0,40,16,50,10,10,297
2011-2,2011,0,1,4,0,40,4,50,0,0,280
2012-1,2012,1,0,4,0,40,8,55,5,6,297
2012-2,2012,0,1,4,0,40,2,55,4,4,280
2013-1,2013,1,0,4,0,40,12,55,7,9,297
2014-2,2014,0,1,4,0,50,41,55,20,23,299
2016-1,2016,1,0,4,0,40,32,55,36,40,321
