year-semester,year,spring,fall,academic_year,required,quota,enrollment,junior,double,second,all
2007-1,2007,1,0,2,0,80,55,49,0,0,297
2007-2,2007,0,1,2,0,80,24,49,0,0,280
2008-2,2008,0,1,2,0,60,48,51,0,0,280
2009-2,2009,0,1,2,0,60,67,46,0,0,280
2010-2,2010,0,1,2,0,60,60,45,0,0,280
2011-2,2011,0,1,2,0,60,44,50,0,0,280
2012-2,2012,0,1,2,0,60,53,55,4,4,280
2013-2,2013,0,1,2,0,60,93,55,11,15,280
2014-2,2014,0,1,2,0,90,98,55,20,23,299
2015-2,2015,0,1,2,0,150,134,55,10,5,386
2016-2,2016,0,1,2,0,150,158,55,19,15,301
