year-semester,year,spring,fall,academic_year,required,quota,enrollment,junior,double,second,all
2007-1,2007,1,0,4,0,60,48,49,0,0,297
2008-1,2008,1,0,4,0,60,34,51,0,0,297
2008-2,2008,0,1,4,0,40,14,51,0,0,280
2009-1,2009,1,0,4,0,40,17,46,5,5,297
2009-2,2009,0,1,4,0,40,10,46,0,0,280
2010-1,2010,1,0,4,0,40,15,45,3,3,297
2010-2,2010,0,1,4,0,30,7,45,0,0,280
2011-1,2011,1,0,4,0,40,25,50,10,10,297
2011-2,2011,0,1,4,0,40,12,50,0,0,280
2012-1,2012,1,0,4,0,40,17,55,5,6,297
2012-2,2012,0,1,4,0,40,9,55,4,4,280
2013-2,2013,0,1,4,0,40,8,55,11,15,280
2014-2,2014,0,1,4,0,40,16,55,20,23,299
2015-2,2015,0,1,4,0,40,21,55,10,5,386
2016-2,2016,0,1,4,0,40,13,55,19,15,301
