year-semester,year,spring,fall,academic_year,required,quota,enrollment,junior,double,second,all
2007-1,2007,1,0,4,0,120,53,49,0,0,297
2008-1,2008,1,0,4,0,90,29,51,0,0,297
2009-1,2009,1,0,4,0,60,36,46,5,5,297
2010-1,2010,1,0,4,0,40,40,45,3,3,297
2011-1,2011,1,0,4,0,37,15,50,10,10,297
2012-1,2012,1,0,4,0,17,17,55,5,6,297
2013-1,2013,1,0,4,0,40,39,55,7,9,297
2014-1,2014,1,0,4,0,50,32,55,13,5,307
2015-1,2015,1,0,4,0,45,29,55,45,50,313
2016-1,2016,1,0,4,0,60,54,55,36,40,321
2017-1,2017,1,0,4,0,60,56,55,36,40,338
