year-semester,year,spring,fall,academic_year,required,quota,enrollment,junior,double,second,all
2007-2,2007,0,1,2,0,90,78,49,0,0,280
2008-1,2008,1,0,2,0,60,31,51,0,0,297
2008-2,2008,0,1,2,0,60,48,51,0,0,280
2009-1,2009,1,0,2,0,60,26,46,5,5,297
2009-2,2009,0,1,2,0,60,55,46,0,0,280
2010-1,2010,1,0,2,0,60,26,45,3,3,297
2011-1,2011,1,0,2,0,40,38,50,10,10,297
2011-2,2011,0,1,2,0,40,35,50,0,0,280
2012-1,2012,1,0,2,0,40,20,55,5,6,297
2012-2,2012,0,1,2,0,50,34,55,4,4,280
2013-1,2013,1,0,2,0,50,34,55,7,9,297
2013-2,2013,0,1,2,0,60,31,55,11,15,280
2014-1,2014,1,0,2,0,60,31,55,13,5,307
2014-2,2014,0,1,2,0,60,18,55,20,23,299
2015-1,2015,1,0,3,1,100,51,55,45,50,313
2015-2,2015,0,1,3,1,60,32,55,10,5,386
2016-1,2016,1,0,3,1,60,24,55,36,40,321
2016-2,2016,0,1,3,1,80,68,55,19,15,301
2017-1,2017,1,0,3,1,50,49,55,36,40,338
